51. (WR18) Mike Williams, LAC $12 8 131. (WR54) Jahan Dotson, WAS $1 14 211. (WR73) Jameson Williams, DET $0 6 291. (RB89) Kene Nwangwu, MIN $0 7
52. (WR19) Brandin Cooks, HOU $11 6 132. (RB40) Michael Carter, NYJ $1 10 212. (WR74) Alec Pierce, IND $0 14 292. (RB90) Larry Rountree III, LAC $0 8
53. (TE3) Kyle Pitts, ATL $11 14 133. (RB41) Melvin Gordon III, DEN $1 9 213. (RB60) Isaiah Spiller, LAC $0 8 293. (WR102) Anthony Schwartz, CLE $0 9
54. (RB17) David Montgomery, CHI $10 14 134. (RB42) Nyheim Hines, IND $1 14 214. (RB61) Zamir White, LV $0 6 294. (DST17) Rams D/ST, LAR $0 7
55. (RB18) Breece Hall, NYJ $10 10 135. (RB43) Brian Robinson Jr., WAS $1 14 215. (RB62) Mark Ingram II, NO $0 14 295. (DST18) Titans D/ST, TEN $0 6
56. (RB19) J.K. Dobbins, BAL $10 10 136. (TE12) Hunter Henry, NE $1 10 216. (RB63) D'Onta Foreman, CAR $0 13 296. (K17) Chris Boswell, PIT $0 9
57. (RB20) Ezekiel Elliott, DAL $10 9 137. (TE13) Mike Gesicki, MIA $1 11 217. (RB64) Chuba Hubbard, CAR $0 13 297. (K18) Younghoe Koo, ATL $0 14
58. (WR20) Marquise Brown, ARI $9 13 138. (TE14) Dawson Knox, BUF $1 7 218. (RB65) Ameer Abdullah, LV $0 6 298. (TE30) Tommy Tremble, CAR $0 13
59. (WR21) DK Metcalf, SEA $9 11 139. (WR55) DJ Chark Jr., DET $1 6 219. (RB66) Ty Montgomery, NE $0 10 299. (TE31) Kyle Rudolph, TB $0 11
60. (QB16) Trevor Lawrence, JAC $9 11 140. (WR56) Jarvis Landry, NO $1 14 220. (RB67) Tyrion Davis-Price, SF $0 9 300. (TE32) Jonnu Smith, NE $0 10
61. (QB17) Tua Tagovailoa, MIA $8 11 141. (WR57) Josh Palmer, LAC $0 8 221. (RB68) D'Ernest Johnson, CLE $0 9
62. (WR22) Jerry Jeudy, DEN $8 9 142. (WR58) Robbie Anderson, CAR $0 13 222. (RB69) Dontrell Hilliard, TEN $0 6
63. (WR23) Courtland Sutton, DEN $8 9 143. (WR59) Marvin Jones Jr., JAC $0 11 223. (RB70) Ronald Jones II, KC $0 8
64. (RB21) Travis Etienne Jr., JAC $7 11 144. (WR60) DeVante Parker, NE $0 10 224. (RB71) Hassan Haskins, TEN $0 6
65. (WR24) Amon-Ra St. Brown, DET $7 6 145. (WR61) Kenny Golladay, NYG $0 9 225. (TE20) Austin Hooper, TEN $0 6
66. (WR25) Darnell Mooney, CHI $7 14 146. (TE15) Noah Fant, SEA $0 11 226. (TE21) Hayden Hurst, CIN $0 10
67. (WR26) Gabriel Davis, BUF $7 7 147. (TE16) Irv Smith Jr., MIN $0 7 227. (WR75) Isaiah McKenzie, BUF $0 7
68. (WR27) Chris Godwin, TB $6 11 148. (TE17) David Njoku, CLE $0 9 228. (WR76) Cedrick Wilson, MIA $0 11
69. (RB22) Josh Jacobs, LV $6 6 149. (QB28) Deshaun Watson, CLE $0 9 229. (QB37) Jimmy Garoppolo, SF $0 9 8
70. (RB23) Elijah Mitchell, SF $6 9 150. (TE18) Tyler Higbee, LAR $0 7 230. (QB38) Sam Darnold, CAR $0 13
71. (RB24) Clyde Edwards-Helaire, KC $6 8 151. (RB44) J.D. McKissic, WAS $0 14 231. (WR77) Jamison Crowder, BUF $0 7
72. (RB25) Devin Singletary, BUF $6 7 152. (RB45) Raheem Mostert, MIA $0 11 232. (WR78) Kendrick Bourne, NE $0 10
73. (RB26) Miles Sanders, PHI $6 7 153. (RB46) Alexander Mattison, MIN $0 7 233. (WR79) Romeo Doubs, GB $0 14
74. (TE4) Darren Waller, LV $5 6 154. (RB47) Darrell Henderson Jr., LAR $0 7 234. (WR80) KJ Hamler, DEN $0 9
75. (TE5) George Kittle, SF $5 9 155. (RB48) Jamaal Williams, DET $0 6 235. (TE22) Albert Okwuegbunam, DEN $0 9
76. (WR28) Amari Cooper, CLE $5 9 156. (RB49) Kenneth Gainwell, PHI $0 7 236. (DST13) Dolphins D/ST, MIA $0 11
77. (WR29) Michael Thomas, NO $5 14 157. (RB50) Khalil Herbert, CHI $0 14 237. (DST14) Browns D/ST, CLE $0 9 13
78. (WR30) Allen Robinson II, LAR $4 7 158. (WR62) Jalen Tolbert, DAL $0 9 238. (K13) Robbie Gould, SF $0 9
79. (QB18) Justin Fields, CHI $4 14 159. (WR63) George Pickens, PIT $0 9 239. (K14) Ryan Succop, TB $0 11
80. (QB19) Daniel Jones, NYG $4 9 160. (WR64) Rondale Moore, ARI $0 13 240. (WR81) Velus Jones Jr., CHI $0 14
